LAST SEEN   TYPE      REASON                   OBJECT                                          MESSAGE
31m         Warning   Failed                   pod/default-view-svc-8698f5ff6c-z9jxh           Failed to pull image "drasi-project/query-container-view-svc:latest": failed to pull and unpack image "docker.io/drasi-project/query-container-view-svc:latest": failed to resolve reference "docker.io/drasi-project/query-container-view-svc:latest": pull access denied, repository does not exist or may require authorization: server message: insufficient_scope: authorization failed
31m         Normal    Pulling                  pod/default-publish-api-54d488cf5f-2smnr        Pulling image "drasi-project/query-container-publish-api:latest"
31m         Normal    Started                  pod/default-view-svc-8698f5ff6c-z9jxh           Started container daprd
31m         Normal    Created                  pod/default-view-svc-8698f5ff6c-z9jxh           Created container: daprd
31m         Normal    Pulled                   pod/default-view-svc-8698f5ff6c-z9jxh           Container image "daprio/daprd:1.9.0" already present on machine
31m         Warning   Failed                   pod/default-view-svc-8698f5ff6c-z9jxh           Error: ErrImagePull
31m         Normal    Pulled                   pod/default-publish-api-54d488cf5f-2smnr        Container image "daprio/daprd:1.9.0" already present on machine
31m         Normal    Started                  pod/default-publish-api-54d488cf5f-2smnr        Started container daprd
31m         Warning   Failed                   pod/default-publish-api-54d488cf5f-2smnr        Error: ErrImagePull
31m         Warning   Failed                   pod/default-publish-api-54d488cf5f-2smnr        Failed to pull image "drasi-project/query-container-publish-api:latest": failed to pull and unpack image "docker.io/drasi-project/query-container-publish-api:latest": failed to resolve reference "docker.io/drasi-project/query-container-publish-api:latest": pull access denied, repository does not exist or may require authorization: server message: insufficient_scope: authorization failed
31m         Normal    Created                  pod/default-publish-api-54d488cf5f-2smnr        Created container: daprd
31m         Normal    Pulling                  pod/default-query-host-5c9b69855d-rhc7c         Pulling image "drasi-project/query-container-query-host:latest"
31m         Warning   Failed                   pod/default-query-host-5c9b69855d-rhc7c         Error: ErrImagePull
31m         Warning   BackOff                  pod/default-view-svc-8698f5ff6c-z9jxh           Back-off restarting failed container daprd in pod default-view-svc-8698f5ff6c-z9jxh_drasi-system(da09fbb3-3cbd-42a0-bf3b-b0023ea90af8)
31m         Normal    Created                  pod/default-query-host-5c9b69855d-rhc7c         Created container: daprd
31m         Normal    Started                  pod/default-query-host-5c9b69855d-rhc7c         Started container daprd
31m         Warning   Failed                   pod/default-query-host-5c9b69855d-rhc7c         Failed to pull image "drasi-project/query-container-query-host:latest": failed to pull and unpack image "docker.io/drasi-project/query-container-query-host:latest": failed to resolve reference "docker.io/drasi-project/query-container-query-host:latest": pull access denied, repository does not exist or may require authorization: server message: insufficient_scope: authorization failed
31m         Normal    Pulled                   pod/default-query-host-5c9b69855d-rhc7c         Container image "daprio/daprd:1.9.0" already present on machine
31m         Warning   BackOff                  pod/default-publish-api-54d488cf5f-2smnr        Back-off restarting failed container daprd in pod default-publish-api-54d488cf5f-2smnr_drasi-system(69b093b8-63b0-402f-89c2-f746cea35c1d)
31m         Warning   BackOff                  pod/default-query-host-5c9b69855d-rhc7c         Back-off restarting failed container daprd in pod default-query-host-5c9b69855d-rhc7c_drasi-system(657816d9-71e8-4b2f-952b-384bb6af2fd9)
26m         Normal    Killing                  pod/drasi-mongo-0                               Stopping container mongo
26m         Normal    Killing                  pod/drasi-redis-0                               Stopping container redis
26m         Normal    SuccessfulCreate         replicaset/drasi-resource-provider-587fbbb564   Created pod: drasi-resource-provider-587fbbb564-cpc2n
26m         Normal    ScalingReplicaSet        deployment/drasi-api                            Scaled up replica set drasi-api-6cbd7ccbd5 from 0 to 1
26m         Normal    ScalingReplicaSet        deployment/drasi-resource-provider              Scaled up replica set drasi-resource-provider-587fbbb564 from 0 to 1
26m         Normal    Scheduled                pod/drasi-redis-0                               Successfully assigned drasi-system/drasi-redis-0 to aks-system-12296413-vmss000001
26m         Normal    Scheduled                pod/drasi-resource-provider-587fbbb564-cpc2n    Successfully assigned drasi-system/drasi-resource-provider-587fbbb564-cpc2n to aks-system-12296413-vmss000000
26m         Normal    SuccessfulCreate         replicaset/drasi-api-6cbd7ccbd5                 Created pod: drasi-api-6cbd7ccbd5-r9g6h
26m         Normal    Scheduled                pod/drasi-api-6cbd7ccbd5-r9g6h                  Successfully assigned drasi-system/drasi-api-6cbd7ccbd5-r9g6h to aks-system-12296413-vmss000000
26m         Normal    Scheduled                pod/drasi-mongo-0                               Successfully assigned drasi-system/drasi-mongo-0 to aks-system-12296413-vmss000000
26m         Normal    Pulling                  pod/drasi-api-6cbd7ccbd5-r9g6h                  Pulling image "ghcr.io/drasi-project/api:0.10.0"
26m         Normal    Pulling                  pod/drasi-resource-provider-587fbbb564-cpc2n    Pulling image "ghcr.io/drasi-project/kubernetes-provider:0.10.0"
26m         Normal    Started                  pod/drasi-resource-provider-587fbbb564-cpc2n    Started container kubernetes-provider
26m         Normal    Created                  pod/drasi-resource-provider-587fbbb564-cpc2n    Created container: kubernetes-provider
26m         Normal    Created                  pod/drasi-api-6cbd7ccbd5-r9g6h                  Created container: drasi-api
26m         Normal    Started                  pod/drasi-api-6cbd7ccbd5-r9g6h                  Started container drasi-api
26m         Normal    Pulled                   pod/drasi-api-6cbd7ccbd5-r9g6h                  Container image "daprio/daprd:1.14.5" already present on machine
26m         Normal    Created                  pod/drasi-api-6cbd7ccbd5-r9g6h                  Created container: daprd
26m         Normal    Started                  pod/drasi-api-6cbd7ccbd5-r9g6h                  Started container daprd
26m         Normal    ScalingReplicaSet        deployment/drasi-resource-provider              Scaled down replica set drasi-resource-provider-587fbbb564 from 1 to 0
26m         Normal    SuccessfulDelete         replicaset/drasi-resource-provider-587fbbb564   Deleted pod: drasi-resource-provider-587fbbb564-cpc2n
26m         Normal    Started                  pod/drasi-resource-provider-587fbbb564-cpc2n    Started container daprd
26m         Normal    Pulled                   pod/drasi-mongo-0                               Container image "ghcr.io/drasi-project/mongo:6" already present on machine
